FirstName;LastName;Cpr;VoterId;PollingTable;PollingVenueName
Adam;Johansen;0104371945;1323627889;12;Lundehusskolen
Adam;Sørensen;0707371945;1323627844;17;Lundehusskolen
Albert;Rasmussen;0811341883;1323627872;4;Lundehusskolen
Alberte;Christiansen;2901251944;1323627853;4;Lundehusskolen
Alberte;Jørgensen;2302421876;1323627823;2;Lundehusskolen
Alfred;Poulsen;0807501985;1323627851;17;Lundehusskolen
Alma;Poulsen;1209301892;1323627824;19;Lundehusskolen
Amalie;Poulsen;0502271882;1323627905;10;Lundehusskolen
Amalie;Sørensen;2502362056;1323627828;14;Lundehusskolen
Andreas;Olsen;0304591927;1323627865;15;Lundehusskolen
Anna;Pedersen;1109632034;1323627833;3;Lundehusskolen
Asta;Knudsen;1808401952;1323627859;19;Lundehusskolen
Asta;Poulsen;1605272026;1323627903;5;Lundehusskolen
Astrid;Jørgensen;2703451924;1323627890;4;Lundehusskolen
Astrid;Nielsen;0609312018;1323627812;12;Lundehusskolen
Benjamin;Larsen;0905341965;1323627875;13;Lundehusskolen
Benjamin;Larsen;2404351897;1323627882;1;Lundehusskolen
Benjamin;Rasmussen;1509131909;1323627867;18;Lundehusskolen
Bertram;Johansen;0401451999;1323627879;14;Lundehusskolen
Bertram;Poulsen;1004751991;1323627897;10;Lundehusskolen
Carl;Johansen;1505332013;1323627873;12;Lundehusskolen
Carl;Larsen;0706292043;1323627814;6;Lundehusskolen
Caroline;Rasmussen;2802531996;1323627878;2;Lundehusskolen
Caroline;Sørensen;1809721926;1323627836;14;Lundehusskolen
Cecilie;Larsen;2301841916;1323627895;19;Lundehusskolen
Christian;Sørensen;2801351895;1323627822;6;Lundehusskolen
Clara;Olsen;1607892020;1323627866;15;Lundehusskolen
Emily;Poulsen;2902441984;1323627883;16;Lundehusskolen
Emma;Madsen;0309832044;1323627849;13;Lundehusskolen
Felix;Andersen;1101451877;1323627863;4;Lundehusskolen
Felix;Christensen;1701671939;1323627825;6;Lundehusskolen
Felix;Hansen;0302751907;1323627843;8;Lundehusskolen
Filippa;Jørgensen;2608482040;1323627827;4;Lundehusskolen
Filippa;Madsen;1701581918;1323627806;11;Lundehusskolen
Filippa;Thomsen;1601221882;1323627809;1;Lundehusskolen
